Equipment_Record_ID,Source_UID,Data_Split,ProductType,Humidity,Temperature,Age,Quantity,MTTF
41,41,Training,Gauge Machine,28.74,69.17,5,54092,276.0
42,42,Training,Pump,54.35,51.61,15,32897,497.0
43,43,Training,Extruder,80.67,55.43,5,59907,384.0
44,44,Training,Coil Oven,60.57,65.17,12,34976,65.0
45,45,Training,Pressure Cutter,46.71,40.84,8,64800,315.0
46,46,Training,Pressure Cutter,94.78,38.69,10,33200,94.0
47,47,Training,Pressure Cutter,6.69,63.51,13,67572,334.0
48,48,Training,Coil Oven,75.11,60.3,5,76731,185.0
49,49,Training,Pressure Cutter,59.83,68.36,13,57744,446.0
50,50,Training,Extruder,97.0,45.39,3,27773,64.0
51,51,Training,Pump,99.78,41.84,9,37535,172.0
52,52,Training,Pump,72.81,59.71,16,47816,230.0
53,53,Training,Coil Oven,27.0,71.4,8,50900,569.0
54,54,Training,Extruder,38.88,78.26,2,59863,320.0
55,55,Training,Gauge Machine,69.69,93.14,7,68471,537.0
56,56,Training,Pump,66.37,67.13,17,25708,101.0
57,57,Training,Coil Oven,66.24,55.33,1,31788,162.0
58,58,Training,Gauge Machine,44.65,48.79,6,53314,559.0
59,59,Training,Extruder,64.81,37.98,2,25851,524.0
60,60,Training,Extruder,80.63,71.88,7,70601,562.0
61,61,Training,Pressure Cutter,65.05,89.16,7,41882,87.0
62,62,Training,Pump,51.06,50.64,11,29868,74.0
63,63,Training,Gauge Machine,27.85,66.79,2,79000,84.0
64,64,Training,Pressure Cutter,40.03,49.69,11,28588,551.0
65,65,Training,Pump,19.8,59.61,10,47565,498.0
66,66,Training,Gauge Machine,36.23,48.0,9,77486,64.0
67,67,Training,Gauge Machine,68.39,70.82,4,40418,273.0
68,68,Training,Pressure Cutter,95.24,38.42,10,31158,213.0
69,69,Training,Pump,12.12,52.85,13,65452,312.0
70,70,Training,Extruder,20.48,76.44,4,66079,390.0
71,71,Training,Pump,23.4,35.84,7,61957,384.0
72,72,Training,Pressure Cutter,9.8,68.26,8,38922,96.0
73,73,Training,Pressure Cutter,75.47,68.24,3,53997,117.0
74,74,Training,Pump,57.94,63.66,16,52943,225.0
75,75,Training,Pressure Cutter,85.95,69.19,4,28059,408.0
76,76,Training,Extruder,30.17,62.84,1,57567,292.0
77,77,Training,Pressure Cutter,91.31,70.58,4,34949,548.0
78,78,Training,Pressure Cutter,16.03,77.05,9,39663,547.0
79,79,Training,Gauge Machine,17.02,46.93,9,73592,94.0
80,80,Training,Pump,89.91,43.47,14,37085,394.0
81,81,Training,Coil Oven,5.51,77.71,2,51936,136.0
82,82,Training,Coil Oven,10.18,46.07,11,32413,406.0
83,83,Training,Pump,90.92,72.42,5,35662,341.0
84,84,Training,Pressure Cutter,33.58,93.49,10,42238,386.0
85,85,Training,Pump,89.84,46.32,10,68919,98.0
86,86,Training,Coil Oven,15.66,78.99,7,77554,133.0
87,87,Training,Pressure Cutter,89.6,51.07,10,31326,541.0
88,88,Training,Coil Oven,73.78,82.86,14,50015,558.0
89,89,Training,Pump,49.6,61.7,12,60006,77.0
90,90,Training,Coil Oven,84.4,44.05,14,61247,81.0
91,91,Training,Coil Oven,20.91,91.56,14,79099,545.0
92,92,Training,Pressure Cutter,62.51,60.31,3,53137,231.0
93,93,Training,Pressure Cutter,34.29,43.18,8,32675,285.0
94,94,Training,Coil Oven,67.08,66.17,7,40558,516.0
95,95,Training,Pressure Cutter,60.35,44.01,14,65834,482.0
96,96,Training,Pressure Cutter,19.29,74.85,4,39627,492.0
97,97,Training,Extruder,61.57,84.73,2,43981,245.0
98,98,Training,Pressure Cutter,70.0,42.14,5,71077,140.0
99,99,Training,Gauge Machine,5.57,68.13,15,36200,212.0
100,100,Training,Coil Oven,58.45,78.56,11,37208,354.0
101,101,Training,Pump,96.67,37.97,5,29514,540.0
102,102,Training,Pump,72.62,64.76,10,27079,494.0
103,103,Training,Coil Oven,9.38,46.04,9,67369,271.0
104,104,Training,Coil Oven,87.56,73.27,2,70319,83.0
105,105,Training,Extruder,65.02,59.9,17,60703,507.0
106,106,Training,Coil Oven,92.93,45.57,10,63625,325.0
107,107,Training,Pump,35.94,80.52,15,56625,432.0
108,108,Training,Pressure Cutter,44.6,70.71,3,48694,510.0
109,109,Training,Pump,87.97,90.5,14,49320,166.0
110,110,Training,Extruder,5.88,60.54,17,49276,170.0
111,111,Training,Pump,89.18,77.83,2,46906,68.0
112,112,Training,Extruder,9.14,94.38,12,58227,419.0
113,113,Training,Coil Oven,57.77,59.0,15,71963,271.0
114,114,Training,Coil Oven,69.38,76.84,15,74722,252.0
115,115,Training,Coil Oven,88.65,43.1,14,64855,228.0
116,116,Training,Gauge Machine,11.08,41.98,4,63759,548.0
117,117,Training,Coil Oven,93.17,47.18,16,46724,434.0
118,118,Training,Gauge Machine,76.85,79.99,12,70543,350.0
119,119,Training,Gauge Machine,8.76,47.55,5,79894,566.0
120,120,Training,Pressure Cutter,8.28,88.28,13,30062,104.0
121,121,Training,Coil Oven,26.43,45.05,11,55810,217.0
122,122,Training,Gauge Machine,6.04,49.96,11,61423,555.0
123,123,Training,Pump,9.34,38.65,13,77936,364.0
124,124,Training,Gauge Machine,51.46,66.02,6,61344,455.0
125,125,Training,Pump,8.99,42.92,16,65378,520.0
126,126,Training,Coil Oven,45.82,80.83,3,25747,342.0
127,127,Training,Coil Oven,85.45,91.67,17,25012,86.0
128,128,Training,Coil Oven,80.7,89.94,7,25392,496.0
129,129,Training,Coil Oven,54.8,62.98,7,46677,139.0
130,130,Training,Gauge Machine,61.06,75.51,12,38814,121.0
131,131,Training,Pressure Cutter,73.79,85.94,15,40438,155.0
132,132,Training,Extruder,48.88,83.24,2,34607,119.0
133,133,Training,Pressure Cutter,99.89,39.57,7,29048,224.0
134,134,Training,Coil Oven,34.71,65.31,1,55276,566.0
135,135,Training,Pump,9.75,35.6,10,28780,465.0
136,136,Training,Pump,21.15,70.64,13,38319,527.0
137,137,Training,Pressure Cutter,69.14,64.93,14,51960,550.0
138,138,Training,Gauge Machine,52.8,37.87,15,77522,415.0
139,139,Training,Coil Oven,27.46,54.83,2,40255,188.0
140,140,Training,Gauge Machine,48.93,61.1,12,64374,247.0
141,141,Training,Extruder,68.52,92.16,10,30432,514.0
142,142,Training,Pump,43.16,82.54,10,27749,437.0
143,143,Training,Pump,28.19,44.51,3,40881,261.0
144,144,Training,Pump,10.31,64.19,2,62126,237.0
145,145,Training,Extruder,44.3,37.85,17,71852,513.0
146,146,Training,Gauge Machine,20.15,48.26,10,44143,452.0
147,147,Training,Pump,29.56,78.6,8,56482,333.0
148,148,Training,Pump,73.61,73.24,1,34767,92.0
149,149,Training,Pump,59.1,39.98,17,71424,549.0
150,150,Training,Gauge Machine,74.99,87.89,11,51449,101.0
151,151,Training,Coil Oven,20.76,93.88,14,28197,279.0
152,152,Training,Pressure Cutter,99.37,57.41,7,34814,337.0
153,153,Training,Coil Oven,77.3,45.0,5,74589,321.0
154,154,Training,Coil Oven,88.71,49.3,4,72625,531.0
155,155,Training,Pressure Cutter,68.29,69.96,13,26874,157.0
156,156,Training,Extruder,28.82,84.51,10,53484,388.0
157,157,Training,Pressure Cutter,42.17,40.28,11,50562,152.0
158,158,Training,Coil Oven,72.53,76.75,15,57957,353.0
159,159,Training,Extruder,13.46,72.85,3,73648,142.0
160,160,Training,Extruder,85.5,89.87,13,26315,204.0
161,161,Training,Gauge Machine,56.64,47.39,6,70018,497.0
162,162,Training,Pressure Cutter,63.85,39.43,14,32979,134.0
163,163,Training,Extruder,38.31,89.51,12,36173,538.0
164,164,Training,Gauge Machine,92.0,63.82,3,27408,496.0
165,165,Training,Extruder,5.75,73.15,9,41349,278.0
166,166,Training,Extruder,27.54,68.48,5,66090,265.0
167,167,Training,Coil Oven,70.76,62.89,1,49968,467.0
168,168,Training,Pressure Cutter,43.06,64.94,1,38014,391.0
169,169,Training,Extruder,81.14,71.25,16,27050,504.0
170,170,Training,Pressure Cutter,77.51,81.05,2,48029,240.0
171,171,Training,Coil Oven,84.61,69.13,11,76070,410.0
172,172,Training,Gauge Machine,10.54,84.75,2,40156,111.0
173,173,Training,Pump,84.6,75.25,5,67558,390.0
174,174,Training,Pump,16.46,66.12,9,49216,398.0
175,175,Training,Coil Oven,69.51,78.88,5,33402,466.0
176,176,Training,Extruder,50.83,79.64,10,37969,260.0
177,177,Training,Coil Oven,7.56,92.2,11,63966,365.0
178,178,Training,Extruder,19.29,36.9,17,33089,97.0
179,179,Training,Coil Oven,45.66,46.59,6,25155,325.0
180,180,Training,Coil Oven,12.58,52.8,5,45181,338.0
181,181,Training,Pump,25.19,78.82,8,54685,510.0
182,182,Training,Pump,13.39,55.53,14,58736,371.0
183,183,Training,Pump,60.34,92.44,6,47988,115.0
184,184,Training,Gauge Machine,30.26,71.07,1,56992,281.0
185,185,Training,Coil Oven,24.82,88.01,7,41270,354.0
186,186,Training,Coil Oven,28.73,56.7,15,70744,215.0
187,187,Training,Pressure Cutter,32.99,52.23,5,79269,322.0
188,188,Training,Gauge Machine,38.14,82.18,1,77066,141.0
189,189,Training,Pump,27.59,77.74,7,66480,153.0
190,190,Training,Pump,90.46,35.18,1,75418,176.0
191,191,Training,Pump,48.79,86.31,10,43474,149.0
192,192,Training,Pressure Cutter,10.92,72.58,2,48408,370.0
193,193,Training,Coil Oven,40.57,39.82,11,23407,525.0
194,194,Training,Gauge Machine,81.32,73.18,8,66907,224.0
195,195,Training,Coil Oven,97.2,68.23,5,34342,305.0
196,196,Training,Gauge Machine,29.74,90.08,17,62687,506.0
197,197,Training,Coil Oven,95.35,71.55,6,30072,176.0
198,198,Training,Pressure Cutter,55.94,58.44,11,26758,203.0
199,199,Training,Pressure Cutter,98.63,69.7,11,70066,102.0
200,200,Training,Extruder,10.42,53.17,16,65701,115.0
201,201,Training,Coil Oven,65.17,39.03,16,36847,360.0
202,202,Training,Coil Oven,20.58,42.24,10,31648,203.0
203,203,Training,Extruder,58.97,90.26,11,69616,471.0
204,204,Training,Coil Oven,82.78,52.16,11,56908,246.0
205,205,Training,Extruder,50.76,44.02,8,46156,387.0
206,206,Training,Pump,44.71,94.62,11,51583,317.0
207,207,Training,Gauge Machine,69.93,92.74,8,49666,66.0
208,208,Training,Extruder,75.24,83.93,11,72171,334.0
209,209,Training,Gauge Machine,16.84,87.2,15,29438,285.0
210,210,Training,Pump,80.1,92.5,12,49653,81.0
211,211,Training,Pump,90.47,40.5,10,64017,474.0
212,212,Training,Pressure Cutter,77.81,45.62,16,30222,435.0
213,213,Training,Gauge Machine,93.73,77.29,7,68763,408.0
214,214,Training,Gauge Machine,23.62,66.74,6,72786,127.0
215,215,Training,Coil Oven,19.22,80.61,5,70285,532.0
216,216,Training,Pressure Cutter,98.6,82.76,4,69233,147.0
217,217,Training,Gauge Machine,40.81,91.6,17,79697,474.0
218,218,Training,Coil Oven,75.56,66.7,11,37279,267.0
219,219,Training,Coil Oven,9.43,68.87,9,79288,216.0
220,220,Training,Pump,83.82,85.83,8,58150,502.0
221,221,Training,Pressure Cutter,25.51,67.7,13,79000,469.0
222,222,Training,Coil Oven,95.83,66.35,10,65310,490.0
223,223,Training,Pressure Cutter,93.79,75.39,11,35734,558.0
224,224,Training,Gauge Machine,91.84,81.33,11,54195,570.0
225,225,Training,Extruder,67.18,77.04,12,40057,191.0
226,226,Training,Extruder,18.72,83.09,4,67486,372.0
227,227,Training,Gauge Machine,46.14,88.44,11,72282,565.0
228,228,Training,Pressure Cutter,75.12,58.37,8,78282,542.0
229,229,Training,Coil Oven,55.96,94.55,6,60923,446.0
230,230,Training,Coil Oven,11.03,92.14,8,64571,262.0
231,231,Training,Coil Oven,19.77,92.93,11,65815,85.0
232,232,Training,Coil Oven,52.57,83.7,5,62458,141.0
233,233,Training,Extruder,12.13,49.55,5,49344,295.0
234,234,Training,Pressure Cutter,65.1,70.99,6,31133,378.0
235,235,Training,Gauge Machine,13.41,75.88,3,58952,136.0
236,236,Training,Pump,41.56,59.47,1,40529,115.0
237,237,Training,Gauge Machine,11.17,54.25,12,53438,547.0
238,238,Training,Extruder,89.52,76.15,13,46695,208.0
239,239,Training,Pump,10.45,63.24,11,66912,249.0
240,240,Training,Pressure Cutter,74.22,70.79,8,55031,496.0
241,241,Training,Extruder,54.47,47.23,2,41585,560.0
242,242,Training,Gauge Machine,84.38,74.25,15,61991,412.0
243,243,Training,Pressure Cutter,98.84,70.7,11,70407,163.0
244,244,Training,Extruder,58.83,54.75,14,49349,264.0
245,245,Training,Pump,84.98,82.18,3,55536,225.0
246,246,Training,Pump,5.0,68.28,7,58226,100.0
247,247,Training,Pump,79.93,73.87,17,78407,239.0
248,248,Training,Extruder,33.96,57.34,7,31976,326.0
249,249,Training,Pump,10.98,80.71,12,25597,366.0
250,250,Training,Pressure Cutter,51.97,83.22,16,56025,516.0
251,251,Training,Gauge Machine,86.85,50.52,10,32819,344.0
252,252,Training,Pump,52.75,37.56,1,31731,69.0
253,253,Training,Coil Oven,82.0,81.23,9,32531,132.0
254,254,Training,Coil Oven,11.0,62.29,8,36485,265.0
255,255,Training,Gauge Machine,87.58,52.27,17,24771,166.0
256,256,Training,Pressure Cutter,84.73,93.18,9,59238,581.0
257,257,Training,Gauge Machine,10.62,74.08,11,46227,446.0
258,258,Training,Pressure Cutter,66.23,94.08,14,39727,433.0
259,259,Training,Pump,20.55,50.63,7,51396,50.0
260,260,Training,Extruder,93.12,67.56,15,45747,535.0
261,261,Training,Pressure Cutter,81.03,73.17,10,55080,540.0
262,262,Training,Gauge Machine,5.99,48.56,8,27312,339.0
263,263,Training,Pump,55.34,64.62,12,54479,439.0
264,264,Training,Extruder,22.45,80.48,10,55696,522.0
265,265,Training,Coil Oven,56.28,92.09,2,63727,167.0
266,266,Training,Pressure Cutter,77.85,68.35,1,48802,316.0
267,267,Training,Gauge Machine,56.87,40.96,9,58569,231.0
268,268,Training,Extruder,38.49,37.58,16,76521,254.0
269,269,Training,Coil Oven,25.05,58.77,13,60937,312.0
270,270,Training,Gauge Machine,64.44,67.16,6,37030,327.0
271,271,Training,Coil Oven,19.2,39.47,3,68974,363.0
272,272,Training,Gauge Machine,76.95,37.95,2,38889,276.0
273,273,Training,Gauge Machine,17.32,35.93,13,23952,550.0
274,274,Training,Gauge Machine,18.42,93.27,10,65354,406.0
275,275,Training,Extruder,31.25,94.96,1,28606,80.0
276,276,Training,Pump,92.48,75.02,4,41289,225.0
277,277,Training,Pump,42.16,48.61,5,31578,530.0
278,278,Training,Coil Oven,81.38,62.0,2,32106,396.0
279,279,Training,Extruder,14.35,62.59,5,40057,121.0
280,280,Training,Gauge Machine,70.56,53.81,2,74250,455.0
281,281,Training,Gauge Machine,48.25,44.24,5,77439,162.0
282,282,Training,Extruder,37.2,83.46,10,67129,413.0
283,283,Training,Coil Oven,42.11,71.71,1,73528,353.0
284,284,Training,Pressure Cutter,23.42,69.96,6,60517,410.0
285,285,Training,Extruder,5.43,59.58,2,57670,482.0
286,286,Training,Extruder,56.14,68.16,14,42393,304.0
287,287,Training,Gauge Machine,93.46,69.29,15,61630,438.0
288,288,Training,Pump,67.0,57.56,9,35254,135.0
289,289,Training,Coil Oven,18.4,54.64,11,33777,564.0
290,290,Training,Coil Oven,42.09,36.57,10,46883,306.0
291,291,Training,Gauge Machine,8.76,65.93,14,72892,415.0
292,292,Training,Coil Oven,78.26,40.47,12,36069,438.0
293,293,Training,Extruder,87.78,35.16,6,40069,385.0
294,294,Training,Pressure Cutter,63.19,84.22,4,71398,357.0
295,295,Training,Extruder,60.4,70.16,10,46188,403.0
296,296,Training,Extruder,65.39,35.64,3,67224,157.0
297,297,Training,Gauge Machine,61.99,74.94,17,37484,273.0
298,298,Training,Pressure Cutter,15.5,72.73,10,55999,449.0
299,299,Training,Pressure Cutter,85.69,35.37,6,64264,134.0
300,300,Training,Pump,32.9,94.97,6,41736,523.0
301,301,Training,Coil Oven,14.42,68.6,15,43261,425.0
302,302,Training,Pressure Cutter,7.3,53.62,16,76297,486.0
303,303,Training,Pump,53.17,85.36,16,28114,308.0
304,304,Training,Extruder,75.18,35.63,15,54674,108.0
305,305,Training,Coil Oven,30.49,66.25,10,78040,105.0
306,306,Training,Pressure Cutter,47.65,58.78,6,27635,471.0
307,307,Training,Pump,33.6,94.25,13,43087,536.0
308,308,Training,Coil Oven,16.56,90.96,10,57513,230.0
309,309,Training,Extruder,30.23,82.31,3,58043,384.0
310,310,Training,Extruder,17.03,77.54,7,32326,315.0
311,311,Training,Coil Oven,26.53,62.01,10,46518,312.0
312,312,Training,Gauge Machine,90.0,39.65,12,24989,200.0
313,313,Training,Gauge Machine,99.61,92.38,7,67285,273.0
314,314,Training,Pump,69.51,53.79,13,51186,387.0
315,315,Training,Pump,56.92,58.44,10,71537,478.0
316,316,Training,Pump,89.28,76.72,11,44632,444.0
317,317,Training,Pump,15.15,72.04,9,35608,332.0
318,318,Training,Pump,55.01,49.74,10,70995,333.0
319,319,Training,Extruder,52.39,57.5,4,58753,375.0
320,320,Training,Extruder,92.64,55.96,12,77917,380.0
321,321,Training,Gauge Machine,58.14,43.96,1,54162,95.0
322,322,Training,Extruder,32.65,40.25,15,68548,314.0
323,323,Training,Extruder,88.98,44.27,15,33153,352.0
324,324,Training,Pressure Cutter,78.65,36.5,14,46320,130.0
325,325,Training,Gauge Machine,47.59,38.47,16,64374,199.0
326,326,Training,Extruder,10.04,94.16,10,70882,530.0
327,327,Training,Coil Oven,91.6,41.69,4,50122,338.0
328,328,Training,Gauge Machine,48.95,78.17,4,75833,569.0
329,329,Training,Pump,74.69,88.53,3,30222,298.0
330,330,Training,Pump,65.43,51.35,4,65588,376.0
331,331,Training,Pump,84.96,94.83,16,47906,341.0
332,332,Training,Coil Oven,5.83,94.89,2,30326,179.0
333,333,Training,Coil Oven,66.86,49.61,14,71393,562.0
334,334,Training,Coil Oven,85.68,59.38,7,27193,466.0
335,335,Training,Extruder,44.68,65.04,4,74148,446.0
336,336,Training,Pressure Cutter,71.96,51.94,10,42371,437.0
337,337,Training,Gauge Machine,96.93,88.94,11,58466,59.0
338,338,Training,Extruder,60.55,58.07,1,67622,376.0
339,339,Training,Pressure Cutter,71.6,69.16,8,66322,460.0
340,340,Training,Gauge Machine,81.85,86.39,2,50712,414.0
341,341,Training,Extruder,47.93,56.44,8,68303,151.0
342,342,Training,Gauge Machine,87.53,42.49,12,29612,137.0
343,343,Training,Extruder,71.25,47.75,9,55618,112.0
344,344,Training,Pump,15.62,43.21,9,44468,546.0
345,345,Training,Gauge Machine,70.49,53.14,17,72976,156.0
346,346,Training,Gauge Machine,43.06,88.97,15,30031,268.0
347,347,Training,Coil Oven,99.52,70.32,1,38670,469.0
348,348,Training,Pump,94.31,63.87,4,63868,313.0
349,349,Training,Pump,80.44,61.74,5,57124,135.0
350,350,Training,Pressure Cutter,97.43,70.54,9,29702,115.0
351,351,Training,Coil Oven,41.56,67.34,3,26942,500.0
352,352,Training,Extruder,88.23,41.68,12,32883,185.0
353,353,Training,Coil Oven,94.18,63.42,9,38707,445.0
354,354,Training,Gauge Machine,40.6,78.02,6,45072,113.0
355,355,Training,Extruder,70.18,64.23,6,66306,75.0
356,356,Training,Extruder,72.09,46.29,6,74073,473.0
357,357,Training,Coil Oven,32.82,60.44,13,30777,265.0
358,358,Training,Gauge Machine,74.34,76.13,11,79298,63.0
359,359,Training,Gauge Machine,64.63,72.93,13,25860,421.0
360,360,Training,Coil Oven,48.53,86.46,2,37762,449.0
361,361,Training,Gauge Machine,37.87,46.86,7,43038,337.0
362,362,Training,Pressure Cutter,60.9,87.37,6,36952,555.0
363,363,Training,Extruder,96.98,65.54,5,24459,512.0
364,364,Training,Pressure Cutter,62.9,86.69,3,72478,292.0
365,365,Training,Gauge Machine,15.11,73.93,5,29861,298.0
366,366,Training,Coil Oven,74.49,50.38,12,33802,259.0
367,367,Training,Gauge Machine,17.12,47.08,5,71047,490.0
368,368,Training,Pressure Cutter,48.61,56.06,5,60058,388.0
369,369,Training,Coil Oven,7.46,79.74,6,56127,107.0
370,370,Training,Pressure Cutter,58.69,59.3,6,33906,261.0
371,371,Training,Pressure Cutter,39.8,87.09,8,38649,241.0
372,372,Training,Pump,34.62,76.51,9,27955,234.0
373,373,Training,Extruder,60.19,73.16,5,53452,56.0
374,374,Training,Coil Oven,66.65,74.86,7,47592,151.0
375,375,Training,Pump,66.18,70.14,12,66022,328.0
376,376,Training,Extruder,63.8,40.9,4,70511,304.0
377,377,Training,Pump,62.74,91.48,3,69643,74.0
378,378,Training,Pressure Cutter,51.01,60.58,8,63581,498.0
379,379,Training,Pump,19.0,49.74,16,79321,314.0
380,380,Training,Gauge Machine,41.16,69.23,15,38897,481.0
381,381,Training,Pressure Cutter,85.46,54.22,13,52551,546.0
382,382,Training,Coil Oven,48.33,45.04,5,35299,163.0
383,383,Training,Coil Oven,20.04,38.58,1,75459,196.0
384,384,Training,Gauge Machine,19.38,52.57,3,51691,429.0
385,385,Training,Coil Oven,76.2,40.98,3,30538,88.0
386,386,Training,Pump,93.61,72.4,4,33530,131.0
387,387,Training,Extruder,93.02,52.56,10,34443,354.0
388,388,Training,Pressure Cutter,15.95,93.79,11,67412,347.0
389,389,Training,Gauge Machine,50.37,53.35,15,24896,331.0
390,390,Training,Pump,95.24,77.91,16,31852,62.0
391,391,Training,Extruder,56.49,62.18,16,71579,228.0
392,392,Training,Gauge Machine,21.79,67.18,13,60139,189.0
393,393,Training,Pump,84.9,92.83,13,47597,151.0
394,394,Training,Pressure Cutter,6.64,93.62,13,54758,69.0
395,395,Training,Pump,77.99,73.2,16,26250,531.0
396,396,Training,Coil Oven,10.04,50.19,8,60008,390.0
397,397,Training,Extruder,5.4,65.03,8,42319,352.0
398,398,Training,Extruder,23.03,35.09,8,65874,184.0
399,399,Training,Extruder,6.92,47.84,6,31056,103.0
400,400,Training,Coil Oven,24.09,40.57,15,68972,255.0
401,401,Training,Gauge Machine,92.61,91.05,16,74150,421.0
402,402,Training,Extruder,76.57,70.89,17,29561,224.0
403,403,Training,Coil Oven,69.47,60.85,16,52557,413.0
404,404,Training,Gauge Machine,21.35,87.36,10,51982,417.0
405,405,Training,Coil Oven,85.18,84.16,14,35845,271.0
406,406,Training,Extruder,50.39,74.57,7,61042,539.0
407,407,Training,Pump,29.86,73.25,7,61632,372.0
408,408,Training,Gauge Machine,72.56,74.93,13,64755,518.0
409,409,Training,Gauge Machine,8.66,86.48,7,33778,542.0
410,410,Training,Gauge Machine,68.56,88.19,15,68940,145.0
411,411,Training,Gauge Machine,80.84,66.98,16,68777,350.0
412,412,Training,Extruder,61.67,64.4,16,59779,259.0
413,413,Training,Coil Oven,64.96,74.24,7,25893,526.0
414,414,Training,Pressure Cutter,12.88,76.49,12,28234,82.0
415,415,Training,Pressure Cutter,90.86,81.85,7,51644,339.0
416,416,Training,Pump,59.94,55.46,14,35379,417.0
417,417,Training,Pressure Cutter,31.9,71.16,10,56118,410.0
418,418,Training,Pump,54.55,49.55,15,77579,112.0
419,419,Training,Pump,38.25,58.86,14,50376,174.0
420,420,Training,Coil Oven,26.16,50.99,6,43905,145.0
421,421,Training,Coil Oven,77.62,50.83,5,54777,53.0
422,422,Training,Pump,15.71,83.01,9,26703,59.0
423,423,Training,Gauge Machine,14.32,87.32,1,70829,446.0
424,424,Training,Extruder,5.8,59.25,11,46644,569.0
425,425,Training,Pump,86.19,93.34,3,34557,111.0
426,426,Training,Pressure Cutter,65.41,35.93,5,54380,457.0
427,427,Training,Pressure Cutter,59.84,53.74,10,27701,508.0
428,428,Training,Gauge Machine,88.44,63.78,10,65911,62.0
429,429,Training,Pump,43.22,44.16,4,76534,238.0
430,430,Training,Extruder,89.01,84.56,2,78684,118.0
431,431,Training,Pressure Cutter,37.43,80.57,16,67450,217.0
432,432,Training,Coil Oven,28.23,50.19,9,42811,164.0
433,433,Training,Pump,25.27,71.32,16,42855,194.0
434,434,Training,Coil Oven,8.44,53.02,12,50228,287.0
435,435,Training,Gauge Machine,88.78,49.1,7,45303,434.0
436,436,Training,Extruder,99.36,47.18,6,23115,288.0
437,437,Training,Pressure Cutter,64.61,93.51,6,29496,289.0
438,438,Training,Pump,16.26,85.21,7,43627,438.0
439,439,Training,Pump,22.25,55.54,16,62389,333.0
440,440,Training,Extruder,96.63,37.98,9,57931,372.0
441,441,Training,Pump,16.61,51.76,3,32147,129.0
442,442,Training,Extruder,95.73,68.86,17,37353,384.0
443,443,Training,Pressure Cutter,58.25,70.08,5,76879,53.0
444,444,Training,Pump,21.18,61.3,14,33230,125.0
445,445,Training,Pressure Cutter,7.93,54.29,3,46583,156.0
446,446,Training,Extruder,25.05,82.9,12,31084,550.0
447,447,Training,Extruder,7.93,39.91,13,23937,402.0
448,448,Training,Gauge Machine,81.32,68.42,11,56596,499.0
449,449,Training,Extruder,91.15,82.95,2,47937,90.0
450,450,Training,Pressure Cutter,56.82,50.08,13,25846,273.0
451,451,Training,Gauge Machine,41.75,81.6,11,67755,297.0
452,452,Training,Pressure Cutter,70.35,53.05,7,64124,193.0
453,453,Training,Gauge Machine,11.65,55.95,13,38933,249.0
454,454,Training,Coil Oven,59.94,71.15,3,59162,185.0
455,455,Training,Pressure Cutter,32.93,57.99,9,64639,90.0
