Project_ID,Project_Type,Location,Start_Date,End_Date,Planned_Cost,Actual_Cost,Cost_Overrun,Planned_Duration,Actual_Duration,Schedule_Deviation,Vibration_Level,Crack_Width,Load_Bearing_Capacity,Temperature,Humidity,Weather_Condition,Air_Quality_Index,Energy_Consumption,Material_Usage,Labor_Hours,Equipment_Utilization,Accident_Count,Safety_Risk_Score,Image_Analysis_Score,Anomaly_Detected,Completion_Percentage,Risk_Level
PJT_106,Dam,Seattle,2020-04-15,2021-04-18,35751594,37605704.68,1854110.68,287,368,81,0.41,2.63,168.56,16.21,85.12,Cloudy,232,41902.67,492.8,9009,51.57,6,3.53,58.36,0,77.11,Medium
PJT_107,Building,New York,2020-04-16,2022-03-09,35600593,41658124.6,6057531.6,710,692,-18,0.67,0.29,67.02,32.0,74.94,Snowy,216,49802.39,623.61,6462,81.3,2,3.59,79.3,0,36.54,Medium
PJT_108,Tunnel,Seattle,2020-04-17,2021-10-24,5688482,8387943.22,2699461.22,589,555,-34,0.29,0.55,105.37,4.2,34.0,Cloudy,58,8447.89,569.87,7897,56.34,0,1.69,95.88,0,66.03,Low
PJT_109,Building,Chicago,2020-04-18,2022-03-06,42902454,48883965.22,5981511.22,475,687,212,0.62,1.1,493.86,16.44,29.16,Rainy,94,26286.58,397.82,4458,89.92,2,3.79,62.76,0,26.93,Medium
PJT_110,Building,Chicago,2020-04-19,2021-04-09,49465992,69444364.53,19978372.53,350,355,5,1.65,2.32,191.85,44.56,67.31,Rainy,293,41092.82,588.2,9585,45.02,8,5.56,77.65,0,29.71,High
PJT_111,Bridge,New York,2020-04-20,2022-03-31,41538036,42083196.28,545160.28,510,710,200,0.82,2.17,101.89,27.77,59.19,Snowy,63,40502.79,962.92,5778,86.39,4,6.26,58.79,0,16.06,High
PJT_112,Building,Houston,2020-04-21,2022-07-24,11168293,14557605.22,3389312.22,672,824,152,0.27,4.0,98.15,36.27,75.28,Stormy,161,39199.87,285.42,4730,46.0,6,1.6,81.56,0,77.23,Low
PJT_113,Dam,Los Angeles,2020-04-22,2021-04-11,34222265,50861273.04,16639008.04,374,354,-20,0.75,3.7,373.76,12.82,71.72,Sunny,104,20704.77,689.35,5365,92.87,2,6.86,56.16,0,55.63,High
PJT_114,Building,Chicago,2020-04-23,2021-01-29,39309051,37781338.56,-1527712.44,191,281,90,1.96,2.13,434.56,32.23,63.76,Stormy,186,25423.4,139.06,8547,58.25,3,5.4,74.57,0,31.44,Medium
PJT_115,Bridge,Chicago,2020-04-24,2021-05-21,33337259,30169951.54,-3167307.46,374,392,18,1.3,1.67,165.63,-7.77,89.05,Stormy,64,31773.58,159.77,1027,79.26,0,5.83,82.76,1,60.06,High
PJT_116,Dam,Houston,2020-04-25,2022-11-28,7465377,8660954.7,1195577.7,669,947,278,0.89,1.58,59.41,-3.24,57.35,Sunny,86,48827.33,596.65,4491,69.25,2,8.5,78.96,0,41.88,High
PJT_117,Road,Houston,2020-04-26,2021-04-22,40683871,38876501.82,-1807369.18,361,361,0,0.42,3.87,150.39,1.17,27.92,Rainy,227,19739.63,194.45,7423,61.98,6,4.08,57.0,0,85.35,Medium
PJT_118,Building,Seattle,2020-04-27,2023-07-20,43616258,58839667.13,15223409.13,835,1179,344,1.97,0.26,75.43,12.11,77.98,Rainy,176,46541.47,120.11,6301,78.73,3,2.57,58.07,0,57.53,Medium
PJT_119,Bridge,Seattle,2020-04-28,2021-07-21,5902059,8550485.2,2648426.2,495,449,-46,1.66,0.06,96.53,36.52,37.63,Sunny,166,17121.06,254.36,7160,96.85,1,5.97,83.57,0,12.68,Medium
